,0
370,SHROUD BAND SECTOR 28 BRCH EXT
371,H ROTOR ASSY 28 CW SHP .75 4140FGD/4140
372,SHAFT ASSY A24-28 FLT 4140HT
373,KEY MORTON HP 2820 3.00 LONG
374,SHAFT A24-28 FLT 4140HT
375,ROUND STK 3.500 CDS
376,KEY SFT 24 5/8 SQ x 3-1/2 LG
377,Z WHEEL ASSY 28 CW SHP .75NOZ 4140 FGD
378,WHEEL 28 SHP BRO BKTS .75NOZ 4140 FGD
379,WHL BLNK 28 4140 FORGE A668 CLS LH BAR
380,BUCKET BRO .75 SPNC 1ST 403SS
381,BUCKET BRO .75 SPNC 2ND 403SS
382,BKT STOCK SPNC 403
383,SPCR BKT WHL SPNC 1RW NI STL  - USE -02
384,SPCR BKT WHL SPNC 1RW NI-STL
385,SPCR BKT WHL SPNC 2RW NI-STEEL
386,SPCR BKT WHL SPNC 2RW NI-STL
387,NOZZLE BLK DRILL(19)364 CW SST 00H6071
388,NOZZLE BLK B/MACH 28 CW EXT SST
389,NOZZLE BLK RING MACH EXT
390,NOZZLE BLK BLANK EXTENDED
391,GLAND SEAL PIPG VAC EXH 24-28 PSI/KG
392,GLAND HOUSING ASSY 28 PIPG
393,GLAND HOUSING ASSY H28 CI
394,HOUSING GLD LOW A3203
395,HSG GLD LOW A3203 A278 CL40 CI
396,CAP GLD HOUSING B9539
397,CAP GLD HSG B9539 A278 CL40 CI
398,TEE UNION SWG .50T STL
399,ELBOW F PKR NPT .50 X 90 STL
400,TEE F PKR NPT .50 STL
401,ELBOW F PKR NPT .50 X 45 STL./ 1/2 DD45-
402,FLANGE SLP .50-150RF/03 FST
403,NIPPLE 1/2 X 2 SCH 80
404,NIPPLE 1/2 X 2 1/2 SC80
405,NIPPLE 1/2 X 3 1/2 SC80
406,NIPPLE 1/2 X 2.00 SC80 TOE
407,UNION SWG .50T STL
408,"SENTINEL WARNING VALVE SST 25 PSIG 1/2"""
409,SHCS 5/8-11UNRC-3A X 1.25 B7
410,VALVE GLOBE 1/2 SCREWED
411,SIPHON 1/2NPT
412,VALVE BLOCK 1/2NPT 1500PSI STL
413,PRESSURE GAUGE 5-20PSI PSI/KG
414,FLANGE COVER RLHA24-28 6-600 10-150
415,HHCS 1-8UNC-2A X 4.00 GR5
416,BLANK FLANGE DISC 6
417,DISC BLANK 10-150
418,GASKET FLG EXHAUST H24
419,GASKET FLG INL RLH 6-F7
420,TRICO OILER  LEVEL GA  EXH END 24/28
421,TEE F PKR NPT .75 STL
422,NIPPLE 1/4 X 2.00 SC80 STL
423,NIPPLE 3/4 X 3.00LG SC80 ASTM A106 STL
424,PIPE PLUG .25 SQ HD STL
425,PIPE PLUG 1.00 SQ HD SST
426,BUSHING RED HEX NPT .75 X .38 PKR
427,TRICO OILER  LEVEL GA  INL END 24/28
428,NIPPLE 1/4 SHORT SC80 STL
429,NIPPLE 3/8 X 1.50 SC80 STL
430,NIPPLE 3/8 X 3 1/2 SC80
431,GAUGEBOARD 3PRESS SPD100 W/P
432,U-BOLT 2.00 PIPE 591-U
433,COUPLING NPT 1/2 3000 FST
434,ELBOW ST PKR NPT .50 X 90 STL   1/2 CD-S
435,FLANGE NPT 2.00-150FF FST
436,SIPHON PIG ASH 1/2-1098S
437,NAMEPLATE GAUGE INLET PRESS
438,NAMEPLATE GAUGE CHEST PRESS
439,NAMEPLATE GAUGE EXHAUST PRESS
440,NAMEPLATE GAUGE TURBINE RPM
441,GASKET VCR W/RETAINER SST
442,ELBOW M VCR 1/2NPT X 90 SS-8-VCR-2-8
443,CONN F WVCR 1/2NPT SS-8-WVCR-7-8
444,GAUGEBOARD 3 PRESS GAT TACH
445,ENCLOSURE TACHOMETER MOUNTING
446,PIPE STAND 2.00 X 48.00 TOE
447,CVB6 A24-28 202 DD TG 9PT
448,VALVE CUP & STEM ASSY 24-28 6C VB SS
449,STEM CUP VALVE 0.56 6CVB
450,VALVE CUP 6.0 CVB
451,VALVE CUP 6.0 CVB SST 440C PPCP 5263
452,LINKAGE RLH CVB6 DD TG13-17
453,LINKAGE STAND ASSY 6CVB
454,LINKAGE STAND 6CVB
455,LINKAGE STAND 6CVB A216 WCB
456,CONNECTING ROD ASSY .31DIAX12.38
457,STUD 0.31-24 X 2.00
458,TUBE CONN ROD 9.88LG
459,TBG RD 0.500 OD X 0.310 ID STL
460,SHSS 1/4-20UNC X 5/16 CONE PT
461,VALVE LEVER COMBO 1.50R
462,GOVERNOR LEVER TG 2.09R
463,ELBOW NPT .50 X 45 3000# FST
464,NIPPLE 1/2 X 5 SC80
465,"HHCS 1-8UNC-2A X 3.75 B7, FINISHED"
466,GASKET SPL WND 8.0-600 R1-6Q
467,GASKET SPL WND 6.0-600 CG-6P
468,STUD 1.00-08X4.75 B7
469,THROTTLE VALVE BONNET CVB6
470,BONNET BLANK CVB6
471,PLATE FLEX 6CVB VIB DAMPENING
472,CLAPPER SHAFT CVB6
473,STRAINER SCREEN COMBO TRIP 6
474,SQUARE STK 0.190 CFS
475,VALVE BODY CVB6 WCB 600RF03
476,"BDY VLV COMBO 6"" WCB A3978"
477,CUP VALVE CAGE 6CVB 9PORT
478,CAGE CUP 6IN 9PT SA39802 CA15 RC 26-32
479,CLAPPER DISC 6 RLH
480,DISC CLAPPER 6CVB - PPCP #6506
481,HARDWARE SECTOR 28 2PC 201/2 B7
482,HHCS 3/4-10UNC-2A X 2.25 B7
483,SHCS 1/2-13UNRC-3A X 1.50 B7
484,SHCS 3/4-10UNRC-3A X 1.50 B7
485,STUD SPCR NOZ BLK/SCTR H24-28 B7
486,HEXAGON STK 1.000 STL
487,TURBINE RLHA24-28 STD
488,SUPPORT HDL ASSY 24/28
489,SUPPORT HANDLE COMBO
490,BALL BEARING SKF 6310Z/C3
491,ELBOW NPT 1.00 X 45 3000# FST
492,ELBOW NPT 1.00 X 90 3000# FST
